,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
1253,3267,['H2CA30234'],C00505404,H,House,"[2012, 2014, 2016]",A,Authorized by a candidate,A,2011-11-07,2012-05-09,2015-11-12,CA,1.0
1254,3268,['H8TN04107'],C00678045,H,House,[2018],P,Principal campaign committee,Q,2018-05-04,2018-05-11,2018-10-15,TN,1.0
1255,3269,['P20002838'],C00567743,P,Presidential,"[2014, 2016]",P,Principal campaign committee,T,2014-08-28,2014-11-19,2015-07-14,KY,1.0
1256,3270,['P00004929'],C00588327,P,Presidential,"[2016, 2018]",P,Principal campaign committee,Q,2015-09-30,2015-10-15,2015-10-15,NM,1.0
1257,3271,['H8SD01071'],C00637140,H,House,[2018],P,Principal campaign committee,T,2017-04-08,2017-04-09,2018-04-20,SD,1.0
1258,3272,['P00007351'],C00673913,P,Presidential,[2018],P,Principal campaign committee,Q,2018-03-21,2018-03-21,2018-03-21,AZ,1.0
1259,3273,['H8FL27045'],C00647123,H,House,[2018],P,Principal campaign committee,T,2017-06-06,2017-06-06,2017-06-18,FL,1.0
1260,3274,['H8DE01036'],C00648352,H,House,[2018],P,Principal campaign committee,Q,2017-06-21,2017-06-21,2018-01-28,DE,1.0
1261,3275,['H2NY06165'],C00654046,H,House,[2018],P,Principal campaign committee,Q,2017-08-28,2017-08-28,2018-01-25,NY,1.0
1262,3276,['H6IA02161'],C00613539,H,House,"[2016, 2018]",A,Authorized by a candidate,T,2016-04-01,2017-08-17,2018-06-01,IA,1.0
1263,3277,['H2NY12155'],C00518670,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-04-10,2012-04-10,2013-01-28,NY,1.0
1264,3279,['H8MA08188'],C00650010,H,House,[2018],P,Principal campaign committee,Q,2017-07-11,2017-07-11,2018-10-15,MA,1.0
1265,3280,['H8ID01173'],C00660548,H,House,[2018],P,Principal campaign committee,T,2017-11-14,2017-11-14,2018-07-23,ID,1.0
1266,3281,['S6WA00321'],C00586362,S,Senate,"[2016, 2018]",P,Principal campaign committee,T,2015-09-08,2015-09-08,2017-07-14,WA,1.0
1267,3283,['H2TX19064'],C00517995,H,House,[2012],P,Principal campaign committee,T,2012-04-04,2012-04-04,2012-12-04,TX,1.0
1268,3285,['H2TX33156'],C00516609,H,House,[2012],P,Principal campaign committee,T,2012-03-21,2012-03-21,2012-07-20,TX,1.0
1269,3286,['H8IN01138'],C00670620,H,House,[2018],P,Principal campaign committee,Q,2018-02-20,2018-02-20,2018-02-20,IN,1.0
1270,3288,['H2AZ06122'],C00493171,H,House,[2012],P,Principal campaign committee,T,2011-02-14,2011-02-14,2012-10-31,AZ,1.0
1271,3289,['S2NE00110'],C00513911,S,Senate,"[2012, 2014]",P,Principal campaign committee,T,2012-02-27,2012-02-27,2013-07-16,NE,1.0
1272,3290,['H2OR04079'],C00526038,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-08-02,2012-08-02,2018-04-26,OR,1.0
1273,3291,['S0FL00387'],C00492629,S,Senate,[2012],P,Principal campaign committee,T,2011-01-26,2012-06-12,2012-06-15,FL,1.0
1274,3292,['P60015716'],C00587550,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-23,2015-10-22,2018-04-26,FL,1.0
1275,3293,['S4VA00171'],C00558296,S,Senate,"[2014, 2016]",P,Principal campaign committee,A,2014-02-25,2014-03-06,2015-11-10,VA,1.0
1276,3294,['H2MI10101'],C00524215,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-07-02,2012-08-27,2017-07-26,MI,1.0
1277,3295,['H2UT02274'],C00495226,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-04-07,2011-09-29,2013-01-31,UT,1.0
1278,3296,['P60004850'],C00615849,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-04-26,2016-04-26,2018-04-27,AZ,1.0
1279,3298,['H8IL04134'],C00661777,H,House,[2018],P,Principal campaign committee,Q,2017-11-28,2018-06-26,2018-10-30,IL,1.0
1280,3301,['H4WA04096'],C00558601,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-02-26,2014-03-31,2016-04-14,WA,1.0
1281,3302,['H2CA05087'],C00516807,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-03-26,2012-04-13,2018-04-26,CA,1.0
1282,3306,['H8IA03124'],C00646844,H,House,[2018],P,Principal campaign committee,Q,2017-06-02,2018-09-19,2018-11-02,IA,1.0
1283,3308,['S8MS00261'],C00675348,S,Senate,[2018],P,Principal campaign committee,Q,2018-04-03,2018-11-02,2018-11-02,MS,1.0
1284,3309,['P60008331'],C00579995,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-06-24,2015-06-24,2018-04-26,CA,1.0
1285,3313,['H8CA39174'],C00650648,H,House,[2018],P,Principal campaign committee,Q,2017-07-17,2018-10-15,2018-11-01,CA,1.0
1286,3356,['H6IL18120'],C00577890,H,House,[2016],P,Principal campaign committee,T,2015-05-13,2015-05-13,2016-10-25,IL,1.0
1287,3371,['H6IL01159'],C00588384,H,House,"[2016, 2018]",P,Principal campaign committee,T,2015-09-30,2015-10-27,2018-04-19,IL,1.0
1288,3375,['H8IL16161'],C00663468,H,House,[2018],P,Principal campaign committee,T,2017-12-16,2018-01-11,2018-04-19,IL,1.0
1289,3377,['H4MD06191'],C00545475,H,House,"[2014, 2016]",P,Principal campaign committee,T,2013-06-05,2014-05-23,2015-04-15,MD,1.0
1290,3378,['H6FL19095'],C00619320,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-06-07,2016-08-17,2017-01-10,FL,1.0
1291,3379,['H4PA13199'],C00543363,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2013-04-04,2018-03-12,2018-11-01,PA,1.0
1292,3380,['H8IL18092'],C00661348,H,House,[2018],P,Principal campaign committee,Q,2017-11-22,2017-11-22,2018-10-03,IL,1.0
1293,3382,['S0HI00126'],C00502435,S,Senate,[2012],P,Principal campaign committee,T,2011-09-20,2011-09-20,2012-09-28,HI,1.0
1294,3384,['H2OH03141'],C00517441,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-04-02,2012-04-02,2018-10-15,OH,1.0
1295,3386,['S8WA00251'],C00675983,S,Senate,[2018],P,Principal campaign committee,Q,2018-04-04,2018-04-20,2018-04-20,WA,1.0
1296,3394,['H2IL12080'],C00505016,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-11-01,2011-11-01,2014-01-15,IL,1.0
1297,3395,['S2OH00261'],C00519678,S,Senate,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-04-11,2012-04-11,2018-04-26,OH,1.0
1298,3397,['H6IL09137'],C00573030,H,House,[2016],P,Principal campaign committee,T,2015-02-26,2015-02-26,2015-12-18,IL,1.0
1299,3398,['H6IL09137'],C00591172,H,House,[2016],P,Principal campaign committee,T,2015-11-03,2015-11-03,2015-12-21,IL,1.0
1300,3399,['H6IL18138'],C00577122,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-04-30,2015-04-30,2018-10-10,IL,1.0
1301,3400,['P60005196'],C00560318,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-03-25,2014-03-25,2018-04-26,IL,1.0
1302,3401,['H4LA05098'],C00549113,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-09-04,2013-09-04,2018-04-26,LA,1.0
1303,3404,['H8IA03132'],C00647248,H,House,[2018],P,Principal campaign committee,Q,2017-06-07,2017-06-07,2018-10-31,IA,1.0
1304,3407,['H6MD07442'],C00587071,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-09-17,2015-09-17,2017-05-12,MD,1.0
1305,3408,['S0AK00121'],C00522730,S,Senate,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-06-06,2017-04-15,2018-10-23,AK,1.0
1306,3409,['H8PA11103'],C00665059,H,House,[2018],P,Principal campaign committee,T,2018-01-07,2018-01-07,2018-06-03,PA,1.0
1307,3410,['H6FL04105'],C00615294,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-04-20,2017-06-28,2018-11-01,FL,1.0
1308,3411,['H4MD01127'],C00612671,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-03-23,2016-03-23,2017-05-12,MD,1.0
1309,3412,['H4MD01127'],C00557231,H,House,[2014],P,Principal campaign committee,T,2014-02-19,2014-04-02,2014-07-07,MD,1.0
1310,3413,"['H0OH11072', 'S2OH00170']",C00494930,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2011-04-06,2018-02-07,2018-10-15,OH,0.5
1311,3414,['S8VA00347'],C00671594,S,Senate,[2018],P,Principal campaign committee,Q,2018-02-21,2018-02-21,2018-03-25,VA,1.0
