,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
0,0,P00008052,C00684373,P,Presidential,[2018],P,Principal campaign committee,Q,2018-08-03,2018-08-03,2018-09-09,MA,1.0
1,1,S8MN00438,C00555748,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2014-01-28,2014-01-28,2014-12-18,DC,1.0
2,30,S8MS00196,C00495390,S,Senate,[2012],J,Joint fundraising committee,T,2011-04-15,2011-05-10,2011-10-31,VA,0.125
3,34,H8OH05036,C00528091,H,House,[2012],J,Joint fundraising committee,T,2012-08-29,2012-08-29,2012-11-29,OH,0.5
4,35,H6NY25125,C00532879,N,PAC - Nonqualified,"[2012, 2014, 2016, 2018]",J,Joint fundraising committee,Q,2012-10-22,2012-10-22,2018-10-25,DC,1.0
5,36,S6OH00163,C00499921,S,Senate,[2012],J,Joint fundraising committee,T,2011-08-01,2012-01-24,2012-07-26,DC,0.25
6,37,S8VA00214,C00522771,S,Senate,"[2012, 2014]",J,Joint fundraising committee,T,2012-06-04,2012-06-04,2013-02-26,VA,0.25
7,38,S8VA00214,C00518597,S,Senate,[2012],J,Joint fundraising committee,T,2012-04-05,2012-06-11,2012-11-29,VA,0.25
8,39,S8MS00055,C00543637,S,Senate,[2014],J,Joint fundraising committee,T,2013-04-12,2013-04-12,2013-10-29,VA,0.08333333333333333
9,40,S8MS00055,C00561845,S,Senate,[2014],J,Joint fundraising committee,T,2014-04-15,2014-04-15,2014-11-18,VA,0.05263157894736842
10,41,S8ID00027,C00576280,S,Senate,[2016],J,Joint fundraising committee,T,2015-04-15,2015-05-08,2015-10-29,VA,0.05263157894736842
11,42,H8MN03077,C00572131,H,House,[2016],J,Joint fundraising committee,T,2015-01-28,2015-05-26,2015-07-14,GA,0.16666666666666666
12,43,S6IN00191,C00624759,N,PAC - Nonqualified,[2016],J,Joint fundraising committee,T,2016-08-24,2016-08-24,2016-12-29,DC,0.5
13,44,S6NV00200,C00616979,S,Senate,[2016],J,Joint fundraising committee,T,2016-05-10,2016-05-10,2016-12-19,DC,0.25
14,46,S8ID00027,C00614529,S,Senate,[2016],J,Joint fundraising committee,T,2016-04-06,2016-04-06,2016-10-28,VA,0.25
15,48,S6WY00068,C00637181,S,Senate,[2018],J,Joint fundraising committee,T,2017-04-03,2017-04-03,2017-10-27,VA,0.25
16,55,S8TX00285,C00660639,S,Senate,[2018],J,Joint fundraising committee,Q,2017-11-14,2018-08-14,2018-10-20,DC,0.25
17,56,S8PA00320,C00676676,S,Senate,[2018],J,Joint fundraising committee,T,2018-04-13,2018-04-13,2018-10-12,VA,0.5
18,64,P00007740,C00679969,P,Presidential,[2018],P,Principal campaign committee,Q,2018-05-31,2018-05-31,2018-05-31,CA,1.0
19,65,P40002446,C00586388,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-09,2015-09-09,2018-04-27,NY,1.0
20,97,H2CA00104,C00527333,N,PAC - Nonqualified,[2012],J,Joint fundraising committee,T,2012-08-16,2012-08-16,2012-12-12,CA,1.0
21,108,H6IL18146,C00579979,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-06-24,2015-06-24,2018-04-26,CA,1.0
22,125,P80004153,C00522524,P,Presidential,"[2012, 2014]",P,Principal campaign committee,A,2012-05-28,2012-05-28,2014-01-10,NY,1.0
23,129,H8PA12077,C00636555,H,House,[2018],P,Principal campaign committee,T,2017-04-03,2017-04-03,2018-04-20,PA,1.0
24,130,H8IN05220,C00669184,H,House,[2018],P,Principal campaign committee,Q,2018-02-08,2018-02-08,2018-02-08,IN,1.0
25,131,P20003182,C00499830,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-08-01,2012-03-05,2015-09-11,WA,1.0
26,132,H4MN01161,C00548693,H,House,[2014],P,Principal campaign committee,T,2013-08-27,2013-08-27,2014-11-03,MN,1.0
27,134,S8TN00394,C00665414,S,Senate,[2018],P,Principal campaign committee,Q,2018-01-09,2018-01-09,2018-01-09,TN,1.0
28,135,H6NY22122,C00609321,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-02-18,2016-02-18,2018-04-26,NY,1.0
29,136,H8WV02107,C00650077,H,House,[2018],P,Principal campaign committee,Q,2017-07-11,2017-09-30,2018-10-15,WV,1.0
30,138,H4NY21103,C00557611,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-02-21,2014-03-20,2015-02-09,NY,1.0
31,146,S4MN00353,C00546630,S,Senate,"[2014, 2016]",P,Principal campaign committee,T,2013-07-08,2013-07-18,2016-09-20,MN,1.0
32,147,H4CO03233,C00544460,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-05-07,2013-05-07,2018-04-26,CO,1.0
33,148,H2CA23106,C00493379,H,House,"[2012, 2014, 2016]",P,Principal campaign committee,T,2011-02-22,2012-10-14,2016-10-19,CA,1.0
34,161,P60022480,C00623850,P,Presidential,"[2016, 2018]",P,Principal campaign committee,Q,2016-08-13,2016-11-14,2016-12-18,OH,1.0
35,165,P60022290,C00622092,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-21,2016-07-21,2018-04-26,CA,1.0
36,171,H8GA06302,C00633198,H,House,[2018],P,Principal campaign committee,T,2017-02-15,2017-02-15,2017-11-28,GA,1.0
37,205,H8TX03156,C00612796,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-03-24,2017-05-10,2018-10-31,TX,1.0
38,206,H4NY15071,C00542761,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-03-18,2013-03-18,2018-04-26,NY,1.0
39,207,H6NC02130,C00602706,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-01-05,2017-06-14,2018-10-24,NC,1.0
40,208,P60015021,C00586420,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-09,2015-09-09,2018-04-26,UT,1.0
41,209,H8GA01048,C00651679,H,House,[2018],P,Principal campaign committee,T,2017-07-27,2017-07-27,2018-02-19,GA,1.0
42,210,H2FL22098,C00526988,N,PAC - Nonqualified,"[2012, 2014]",J,Joint fundraising committee,T,2012-08-13,2012-12-04,2013-01-23,FL,1.0
43,211,H2FL22098,C00495531,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-04-19,2012-09-25,2014-03-10,FL,1.0
44,212,H8OH14145,C00648758,H,House,[2018],P,Principal campaign committee,T,2017-06-28,2017-07-12,2018-02-14,OH,1.0
45,213,H8MN03150,C00646570,H,House,[2018],P,Principal campaign committee,Q,2017-05-30,2017-09-06,2018-10-14,MN,1.0
46,214,H4CA37078,C00563502,H,House,"[2014, 2016]",P,Principal campaign committee,A,2014-05-19,2014-05-19,2016-01-05,CA,1.0
47,215,H8IL12137,C00653055,H,House,[2018],P,Principal campaign committee,Q,2017-08-14,2017-08-14,2017-08-31,IL,1.0
48,217,P00006841,C00662197,P,Presidential,[2018],P,Principal campaign committee,Q,2017-12-01,2018-04-10,2018-10-15,AZ,0.5
49,219,H4CA46129,C00562710,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-05-05,2014-05-05,2015-04-23,CA,1.0
50,220,P60009008,C00582106,P,Presidential,[2016],P,Principal campaign committee,T,2015-07-28,2015-09-02,2015-10-26,TX,1.0
51,221,H2PA09100,C00523654,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-06-26,2012-08-22,2012-08-22,PA,1.0
52,222,H6IA03235,C00580282,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-07-01,2017-01-29,2018-10-15,IA,1.0
53,223,H6FL11175,C00522797,H,House,"[2012, 2014]",P,Principal campaign committee,A,2012-06-03,2012-06-03,2013-04-08,FL,1.0
54,224,H6FL11175,C00592923,H,House,[2016],P,Principal campaign committee,T,2015-11-30,2015-11-30,2016-12-12,FL,1.0
55,225,S8CA00325,C00635490,S,Senate,[2018],P,Principal campaign committee,Q,2017-03-21,2017-03-21,2017-04-26,CA,1.0
56,226,H8VA05130,C00639153,H,House,[2018],P,Principal campaign committee,T,2017-05-02,2017-05-31,2018-09-07,VA,1.0
57,228,P60022183,C00621904,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-18,2016-07-18,2018-04-26,WI,1.0
58,229,H8GA11047,C00658716,H,House,[2018],P,Principal campaign committee,T,2017-10-22,2017-10-22,2018-04-25,GA,1.0
59,230,H8PA05303,C00647594,H,House,[2018],P,Principal campaign committee,T,2017-06-09,2018-03-29,2018-07-19,PA,1.0
60,231,S4MA00242,C00523332,S,Senate,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-06-18,2014-04-15,2018-10-10,MA,0.5
61,236,H2KY04139,C00514018,H,House,[2012],P,Principal campaign committee,T,2012-02-29,2012-02-29,2012-12-20,KY,1.0
62,238,H6TX29064,C00599944,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-12-24,2017-06-07,2018-10-12,TX,1.0
63,239,H6NE03115,C00591891,N,PAC - Nonqualified,[2016],J,Joint fundraising committee,T,2015-11-09,2015-11-09,2016-12-09,VA,1.0
64,240,H8TX14120,C00639872,H,House,[2018],P,Principal campaign committee,Q,2017-05-10,2018-01-23,2018-10-25,TX,1.0
65,241,H6CA34229,C00612242,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-03-17,2016-03-17,2018-10-14,CA,1.0
66,253,S8WA00236,C00672501,S,Senate,[2018],P,Principal campaign committee,Q,2018-03-06,2018-03-06,2018-10-31,WA,1.0
67,258,H4OR02178,C00558304,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-03-03,2014-04-15,2015-04-21,OR,1.0
68,290,H8OH01118,C00667519,H,House,[2018],P,Principal campaign committee,Q,2018-01-29,2018-10-17,2018-11-02,OH,1.0
69,298,S4TN00369,C00559203,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-03-04,2014-03-04,2018-04-26,TN,1.0
70,299,H8WA05185,C00651216,H,House,[2018],P,Principal campaign committee,Q,2017-07-24,2017-12-01,2018-10-31,WA,1.0
71,302,P00006247,C00653287,P,Presidential,[2018],A,Authorized by a candidate,Q,2017-08-16,2017-08-16,2017-08-16,RI,1.0
72,303,H2CA31125,C00561761,N,PAC - Nonqualified,"[2014, 2016, 2018]",J,Joint fundraising committee,Q,2014-04-16,2015-08-14,2018-10-25,CA,1.0
73,305,S8MD00088,C00525857,S,Senate,"[2012, 2014]",P,Principal campaign committee,T,2012-07-30,2012-10-15,2013-03-25,MD,1.0
74,306,H6TX22242,C00591156,H,House,[2016],P,Principal campaign committee,T,2015-11-03,2015-11-03,2016-03-07,TX,1.0
75,307,H8IL07095,C00638619,H,House,[2018],P,Principal campaign committee,T,2017-04-26,2017-04-26,2018-04-20,IL,1.0
76,311,P60011194,C00584185,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-21,2015-08-21,2018-04-26,WA,1.0
77,312,H4NJ03106,C00550103,H,House,"[2014, 2016]",P,Principal campaign committee,T,2013-10-17,2014-10-21,2016-03-22,NJ,1.0
78,313,H8UT03196,C00647370,H,House,[2018],P,Principal campaign committee,T,2017-06-09,2017-06-09,2018-10-12,UT,1.0
79,319,H8CA44117,C00672436,H,House,[2018],P,Principal campaign committee,Q,2018-03-06,2018-03-06,2018-10-22,CA,1.0
80,320,H8CA41170,C00635854,H,House,[2018],P,Principal campaign committee,Q,2017-03-19,2017-03-28,2018-11-02,CA,1.0
81,321,P60018843,C00601591,P,Presidential,"[2016, 2018]",A,Authorized by a candidate,A,2016-01-02,2016-01-02,2018-04-26,TX,1.0
82,322,H2MI09129,C00505743,H,House,[2012],P,Principal campaign committee,T,2011-11-14,2011-11-14,2012-03-26,MI,1.0
83,323,H6MN06165,C00608422,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-02-08,2016-02-08,2018-10-14,MN,1.0
84,324,P40003220,C00662478,P,Presidential,[2018],P,Principal campaign committee,Q,2017-12-05,2017-12-05,2018-08-27,MD,1.0
85,327,S2FL00235,C00495192,S,Senate,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2011-04-12,2011-04-12,2018-04-26,FL,1.0
86,328,S6CA00634,C00573931,S,Senate,[2016],P,Principal campaign committee,T,2015-03-10,2016-04-26,2016-05-06,CA,1.0
87,337,P80003353,C00523050,D,Delegate Committee,[2012],U,Unauthorized,T,2012-06-12,2012-06-12,2012-10-24,AL,1.0
88,356,S6AL00195,C00550806,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2013-10-07,2013-10-07,2014-12-12,VA,0.5
89,359,H2AZ02295,C00531715,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-10-09,2012-11-26,2013-02-13,WV,1.0
90,360,H2CA48103,C00522011,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-05-29,2012-05-29,2018-04-26,CA,1.0
91,361,H2CA00104,C00498212,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2011-07-01,2018-05-23,2018-11-02,CA,1.0
92,362,H2TN01072,C00505479,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-10-30,2011-10-30,2014-01-13,TN,1.0
93,364,H4CA32103,C00550574,H,House,[2014],P,Principal campaign committee,T,2013-10-01,2013-10-16,2015-01-02,CA,1.0
94,365,S8AK00090,C00541813,S,Senate,[2014],J,Joint fundraising committee,T,2013-02-15,2013-04-05,2014-10-17,DC,0.5
95,369,S8CO00172,C00566810,S,Senate,[2014],J,Joint fundraising committee,T,2014-08-08,2014-08-08,2014-12-10,DC,0.5
96,373,S8AK00090,C00566430,S,Senate,"[2014, 2016]",J,Joint fundraising committee,T,2014-07-30,2014-07-30,2015-02-11,DC,0.5
97,380,S8AK00090,C00547950,S,Senate,[2014],J,Joint fundraising committee,T,2013-08-06,2013-08-06,2014-07-14,DC,0.5
98,384,S8AK00090,C00525956,S,Senate,"[2012, 2014]",J,Joint fundraising committee,T,2012-07-31,2013-04-05,2014-07-14,DC,0.5
99,385,['H2AK00093'],C00515767,H,House,[2012],P,Principal campaign committee,T,2012-03-15,2012-03-15,2013-01-31,AK,1.0
100,386,['H6AK00045'],C00689935,D,Delegate Committee,[2018],U,Unauthorized,Q,2018-10-14,2018-10-17,2018-10-17,AK,1.0
101,387,['S4AK00214'],C00570994,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2014-12-10,2017-03-14,2018-10-15,AK,1.0
102,400,['S8AK00090'],C00544064,N,PAC - Nonqualified,"[2014, 2016]",J,Joint fundraising committee,T,2013-04-22,2013-04-22,2015-02-03,DC,1.0
103,402,"['S4WV00183', 'S8AK00090']",C00555938,S,Senate,[2014],J,Joint fundraising committee,T,2014-01-30,2014-01-30,2014-07-14,DC,0.5
104,404,['S6CA00659'],C00574285,S,Senate,"[2016, 2018]",P,Principal campaign committee,A,2015-03-10,2015-03-10,2018-04-26,CA,1.0
105,405,['P60023439'],C00627760,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-10-18,2016-10-18,2018-04-26,NY,1.0
106,406,['H0CA23068'],C00517029,H,House,[2012],P,Principal campaign committee,T,2012-03-21,2012-07-16,2012-07-27,CA,1.0
107,407,['P20003497'],C00504167,P,Presidential,"[2012, 2014]",P,Principal campaign committee,A,2011-10-11,2012-01-30,2014-01-10,FL,1.0
108,408,['P60018553'],C00610824,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-03-04,2016-04-25,2018-04-26,TX,1.0
109,409,"['C00615807', 'H6OH12127']",C00615518,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-04-18,2016-04-18,2018-10-05,OH,0.5
110,410,['H2CA49234'],C00518704,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-04-03,2012-04-12,2018-04-26,CA,1.0
111,412,['H4ME02192'],C00544965,H,House,[2014],P,Principal campaign committee,T,2013-05-17,2013-05-17,2014-05-09,ME,1.0
112,413,['P60005543'],C00569780,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-10-17,2014-11-26,2018-04-26,TN,1.0
113,415,['H2KY04097'],C00508291,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-12-19,2011-12-19,2012-10-31,KY,1.0
114,416,['H2AZ03129'],C00514604,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-02-29,2012-03-06,2018-04-27,AZ,1.0
115,417,['H8CA34126'],C00629774,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-12-08,2016-12-08,2017-08-31,CA,1.0
116,419,['H6HI01204'],C00614966,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-04-15,2016-04-15,2018-04-26,HI,1.0
117,421,['P60010931'],C00651166,P,Presidential,[2018],P,Principal campaign committee,T,2017-07-22,2017-07-22,2017-10-17,CA,1.0
118,423,['S2TN00058'],C00556993,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2014-02-10,2014-02-10,2014-12-10,VA,1.0
119,424,['H8MA03163'],C00660597,H,House,[2018],P,Principal campaign committee,Q,2017-11-14,2017-11-14,2018-10-16,MA,1.0
120,425,['H8NY15148'],C00639591,H,House,[2018],P,Principal campaign committee,Q,2017-05-05,2018-08-29,2018-11-02,NY,1.0
121,427,['H6CA09106'],C00595165,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-12-10,2016-02-28,2018-04-26,CA,1.0
122,429,['S6WA00339'],C00602615,S,Senate,"[2016, 2018]",P,Principal campaign committee,Q,2015-12-28,2017-11-17,2017-11-17,WA,1.0
123,430,['H8SC05182'],C00635227,H,House,[2018],P,Principal campaign committee,Q,2017-03-17,2017-03-17,2018-10-17,SC,1.0
124,431,['H4CA24167'],C00556142,H,House,[2014],P,Principal campaign committee,T,2014-01-28,2014-04-11,2014-08-06,CA,1.0
125,433,['H6NJ01188'],C00569335,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,T,2014-10-07,2015-04-08,2017-04-13,NJ,1.0
126,434,['P20003794'],C00504589,P,Presidential,"[2012, 2014]",P,Principal campaign committee,T,2011-10-24,2011-10-24,2013-02-13,TX,1.0
127,435,['S6NY00433'],C00619569,S,Senate,"[2016, 2018]",P,Principal campaign committee,T,2016-06-09,2016-07-14,2017-01-27,NY,1.0
128,436,['H4WV02080'],C00629949,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-12-14,2016-12-14,2018-10-31,WV,1.0
129,437,['S2DE00080'],C00521989,S,Senate,"[2012, 2014, 2016]",P,Principal campaign committee,T,2012-05-23,2012-07-20,2015-01-14,DE,1.0
130,439,['H4FL13093'],C00551226,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,T,2013-10-31,2013-10-31,2017-02-10,FL,1.0
131,440,['H4FL13093'],C00551390,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2013-11-01,2013-11-01,2014-07-02,FL,1.0
132,441,['H8TX07124'],C00639187,H,House,[2018],P,Principal campaign committee,T,2017-05-03,2017-05-03,2018-07-17,TX,1.0
133,442,['S8MN00438'],C00570960,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2014-12-10,2018-10-13,2018-10-15,MN,1.0
134,443,['H8TX02083'],C00640342,H,House,[2018],P,Principal campaign committee,Q,2017-05-13,2017-07-07,2018-10-31,TX,1.0
135,444,['S8MN00651'],C00678979,S,Senate,[2018],P,Principal campaign committee,Q,2018-05-12,2018-05-12,2018-05-12,MN,1.0
136,446,['H8MN03135'],C00640102,H,House,[2018],P,Principal campaign committee,Q,2017-05-11,2017-05-11,2017-10-15,MN,1.0
137,447,['H6WA08076'],C00614222,H,House,[2016],P,Principal campaign committee,T,2016-04-07,2016-07-31,2016-09-21,WA,1.0
138,448,['S4NJ00235'],C00546150,S,Senate,[2014],P,Principal campaign committee,T,2013-06-24,2013-08-05,2014-02-18,NJ,1.0
139,449,['H6FL25027'],C00578252,H,House,"[2016, 2018]",P,Principal campaign committee,T,2015-05-14,2017-06-14,2018-07-16,FL,1.0
140,450,['S4KY00091'],C00547083,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,T,2013-07-16,2017-01-31,2018-06-08,KY,1.0
141,451,['H8VA10122'],C00647024,H,House,[2018],P,Principal campaign committee,Q,2017-06-05,2017-06-05,2018-10-15,DC,1.0
142,452,['S8CA00416'],C00660498,S,Senate,[2018],P,Principal campaign committee,Q,2017-11-07,2018-02-28,2018-10-15,CA,1.0
143,454,['H8FL14209'],C00666602,H,House,[2018],P,Principal campaign committee,Q,2018-01-19,2018-01-19,2018-01-19,FL,1.0
144,457,['H2GA11180'],C00511741,H,House,[2012],P,Principal campaign committee,T,2012-02-06,2012-11-19,2012-11-29,GA,1.0
145,458,['H2GA11180'],C00546176,H,House,[2014],P,Principal campaign committee,T,2013-06-25,2013-06-25,2014-07-28,GA,1.0
146,459,['H2GA11180'],C00567289,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-08-18,2014-11-10,2015-01-29,GA,1.0
147,464,['H8NC02102'],C00656231,H,House,[2018],P,Principal campaign committee,T,2017-09-23,2017-10-07,2018-05-25,NC,1.0
148,465,['H4FL17037'],C00574236,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-03-16,2018-10-14,2018-10-25,FL,1.0
149,466,['H4NY05106'],C00564732,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-06-13,2014-06-13,2018-04-26,NY,1.0
150,467,['H6KS04173'],C00617746,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-05-18,2016-08-15,2018-10-15,KS,1.0
151,468,['H4IN05112'],C00554121,H,House,[2014],P,Principal campaign committee,T,2013-12-23,2014-01-24,2015-01-13,IN,1.0
152,471,['S8MA00250'],C00639161,S,Senate,[2018],P,Principal campaign committee,Q,2017-04-28,2017-05-15,2018-05-01,MA,1.0
153,472,['S4NM00100'],C00555573,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2014-01-23,2014-11-11,2018-10-10,NM,1.0
154,473,['H8FL22038'],C00509067,N,PAC - Nonqualified,[2012],J,Joint fundraising committee,T,2012-01-09,2012-01-09,2012-07-20,NC,1.0
155,482,"['S4NC00162', 'S4VA00155']",C00567131,S,Senate,[2014],J,Joint fundraising committee,T,2014-08-11,2014-08-11,2014-12-16,VA,0.5
156,500,['H6PA05141'],C00611285,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-03-08,2016-03-31,2017-03-14,PA,1.0
157,501,['H8VA07060'],C00634899,H,House,[2018],P,Principal campaign committee,Q,2017-03-07,2018-04-15,2018-10-31,VA,1.0
158,505,['H8MD01177'],C00637462,H,House,[2018],P,Principal campaign committee,Q,2017-04-12,2018-03-14,2018-10-05,MD,1.0
159,506,['H8NV04117'],C00669978,H,House,[2018],P,Principal campaign committee,Q,2018-02-14,2018-02-14,2018-10-31,NV,1.0
160,507,['H8NJ11225'],C00675900,H,House,[2018],P,Principal campaign committee,T,2018-04-10,2018-04-10,2018-10-22,NJ,1.0
161,511,['P20002804'],C00496653,U,Single Candidate Independent Expenditure,[2012],U,Unauthorized,T,2011-05-16,2012-08-07,2012-09-13,MD,1.0
162,515,['H6CA00170'],C00606889,P,Presidential,"[2016, 2018]",U,Unauthorized,A,2016-01-25,2016-01-30,2017-04-05,CA,1.0
163,518,['H4NC12100'],C00546358,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2013-06-27,2016-04-28,2018-11-01,NC,1.0
164,519,['P00006478'],C00659904,P,Presidential,[2018],P,Principal campaign committee,A,2017-11-06,2018-04-30,2018-07-20,FL,1.0
165,521,['H2HI02508'],C00555078,N,PAC - Nonqualified,"[2014, 2016, 2018]",J,Joint fundraising committee,T,2014-01-16,2014-01-16,2018-02-06,HI,1.0
166,522,['S8MT00200'],C00639476,S,Senate,[2018],P,Principal campaign committee,T,2017-04-29,2017-04-29,2018-10-25,MT,1.0
167,523,['H2IL10092'],C00656272,H,House,[2018],P,Principal campaign committee,Q,2017-09-25,2017-09-25,2018-02-20,IL,1.0
168,524,['H2CA15094'],C00528174,U,Single Candidate Independent Expenditure,"[2012, 2014]",,,T,2012-08-29,2012-08-29,2013-07-30,CA,1.0
169,525,['S0CA00306'],C00515858,S,Senate,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-03-09,2012-03-09,2015-11-10,CA,1.0
170,528,['S8IN00213'],C00676007,S,Senate,[2018],P,Principal campaign committee,Q,2018-04-02,2018-04-02,2018-10-24,IN,1.0
171,531,['H8FL05140'],C00667758,H,House,[2018],P,Principal campaign committee,Q,2018-01-30,2018-01-30,2018-10-19,FL,1.0
172,532,['H2FL02090'],C00505131,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-11-03,2011-11-03,2013-01-31,FL,1.0
173,533,['H6MD04266'],C00580613,H,House,[2016],P,Principal campaign committee,T,2015-07-06,2015-07-06,2016-04-27,MD,1.0
174,535,['H8TX12082'],C00641712,H,House,[2018],P,Principal campaign committee,T,2017-05-26,2017-05-26,2017-10-26,TX,1.0
175,536,['H8AK00140'],C00665711,H,House,[2018],P,Principal campaign committee,Q,2018-01-11,2018-06-04,2018-11-01,AK,1.0
176,538,['H2CA03082'],C00499822,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2011-07-28,2011-09-22,2018-04-26,CA,1.0
177,539,['P60019130'],C00606913,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-01-25,2016-06-24,2018-04-26,KY,1.0
178,541,['H0CA11337'],C00613083,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-03-28,2016-03-28,2017-01-27,CA,1.0
179,546,['H2AZ03137'],C00515775,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-03-15,2012-06-14,2013-01-09,AZ,1.0
180,547,['S4MT00159'],C00567834,S,Senate,"[2014, 2016]",P,Principal campaign committee,T,2014-08-21,2015-04-15,2016-04-13,MT,1.0
181,548,['H8OK01181'],C00674705,H,House,[2018],P,Principal campaign committee,Q,2018-03-29,2018-03-29,2018-10-15,OK,1.0
182,549,['H6IL07297'],C00587303,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-09-21,2015-09-21,2018-04-26,IL,1.0
183,550,"['H0ID01253', 'H0MI03126']",C00543348,H,House,[2014],J,Joint fundraising committee,T,2013-04-04,2013-04-04,2013-06-03,MI,0.5
184,552,"['C00637371', 'C00640003', 'C00649913', 'H8NJ11142', 'H8PA06087', 'H8VA07094']",C00685545,H,House,[2018],J,Joint fundraising committee,Q,2018-08-17,2018-08-17,2018-10-24,NJ,0.16666666666666666
185,553,['P60021243'],C00619148,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-06-06,2016-06-06,2018-04-26,DC,1.0
186,554,['P60021243'],C00686048,P,Presidential,[2018],P,Principal campaign committee,Q,2018-08-23,2018-08-23,2018-09-09,DC,1.0
187,579,['H6AZ03211'],C00618488,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-05-26,2016-05-26,2018-04-26,AZ,1.0
188,580,['P60014461'],C00585877,P,Presidential,"[2016, 2018]",A,Authorized by a candidate,A,2015-09-02,2015-09-02,2018-04-26,MN,1.0
189,640,['P60022241'],C00622019,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-20,2016-07-20,2018-04-26,AR,1.0
190,657,"['H0FL05139', 'H0FL08208', 'H0GA07133', 'H0SC01279']",C00511410,H,House,[2012],J,Joint fundraising committee,T,2012-02-01,2012-02-01,2012-05-18,DC,0.25
191,681,['P40003600'],C00564930,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-06-18,2014-06-18,2018-04-27,KY,1.0
