race_type,top_candidates,date
house,"['crawford', 'causey']",2010-10-13
house,"['barletta', 'kanjorski']",2010-10-13
house,"['benishek', 'mcdowell']",2010-10-13
house,"['fitzpatrick', 'murphy']",2010-10-14
house,"['michaud', 'levesque']",2010-10-14
house,"['pingree', 'scontras']",2010-10-14
house,"['herrera', 'heck']",2010-10-14
house,"['critz', 'burns']",2010-10-14
house,"['marino', 'carney']",2010-10-14
house,"['meehan', 'lentz']",2010-10-14
house,"['barletta', 'kanjorski']",2010-10-14
house,"['defazio', 'robinson']",2010-10-15
house,"['guinta', 'shea-porter']",2010-10-15
house,"['kuster', 'bass']",2010-10-15
house,"['boucher', 'griffith']",2010-10-15
house,"['dent', 'callahan']",2010-10-16
house,"['walz', 'demmer']",2010-10-16
house,"['maffei', 'buerkle']",2010-10-17
house,"['hurt', 'perriello']",2010-10-18
house,"['hulburd', 'quayle']",2010-10-18
house,"['saccone', 'lamb']",2011-02-15
house,"['saccone', 'lamb']",2011-02-18
house,"['lamb', 'saccone']",2011-03-05
house,"['saccone', 'lamb']",2011-03-07
house,"['hochul', 'corwin']",2011-05-23
house,"['weprin', 'turner']",2011-08-10
house,"['turner', 'weprin']",2011-09-06
house,"['turner', 'weprin']",2011-09-09
house,"['turner', 'weprin']",2011-09-12
house,"['amodei', 'marshall']",2011-09-12
house,"['bonamici', 'cornilles']",2012-01-05
house,"['manzullo', 'kinzinger']",2012-03-14
house,"['altmire', 'critz']",2012-04-18
house,"['cicilline', 'gemma']",2012-05-17
house,"['shea-porter', 'guinta']",2012-05-17
house,"['bass', 'kuster']",2012-05-17
house,"['barber', 'kelly']",2012-06-11
house,"['matheson', 'love']",2012-06-25
house,"['shea-porter', 'guinta']",2012-08-15
house,"['bass', 'kuster']",2012-08-15
house,"['collins', 'hochul']",2012-08-19
house,"['grisham', 'arnold-jones']",2012-09-10
house,"['owens', 'doheny']",2012-09-10
house,"['bishop', 'altschuler']",2012-09-13
house,"['buerkle', 'maffei']",2012-09-13
house,"['hayworth', 'maloney']",2012-09-18
house,"['koster', 'delbene']",2012-09-19
