name,party,race_type,date,state,district,incumbent,incumbent_first_elected,pct
conor lamb,d,house,3/13/18 0:00,PA,18,tim murphy,2002,49.9
rick saccone,r,house,3/13/18 0:00,PA,18,tim murphy,2002,49.5
drew miller,o,house,3/13/18 0:00,PA,18,tim murphy,2002,0.6
debbie lesko,r,house,4/24/18 0:00,AZ,8,trent franks,2002,52.4
hiral tipirneni,d,house,4/24/18 0:00,AZ,8,trent franks,2002,47.6
michael cloud,r,house,6/30/18 0:00,TX,27,blake farenthold,2010,54.7
eric holguin,d,house,6/30/18 0:00,TX,27,blake farenthold,2010,32
roy barrera,d,house,6/30/18 0:00,TX,27,blake farenthold,2010,4.8
bech bruun,r,house,6/30/18 0:00,TX,27,blake farenthold,2010,4.3
mike westergren,d,house,6/30/18 0:00,TX,27,blake farenthold,2010,2.4
marty perez,r,house,6/30/18 0:00,TX,27,blake farenthold,2010,0.8
judith cutright,o,house,6/30/18 0:00,TX,27,blake farenthold,2010,0.5
daniel tinus,o,house,6/30/18 0:00,TX,27,blake farenthold,2010,0.4
christopher suprun,o,house,6/30/18 0:00,TX,27,blake farenthold,2010,0.1
troy balderson,r,house,8/7/18 0:00,OH,12,pat tiberi,2000,50.1
danny oconnor,d,house,8/7/18 0:00,OH,12,pat tiberi,2000,49.3
joe manchik,o,house,8/7/18 0:00,OH,12,pat tiberi,2000,0.6
brenda jones,d,house,11/6/18 0:00,MI,13,john conyers,1964,100
joe morelle,d,house,11/6/18 0:00,NY,25,louise slaughter,1986,
jim maxwell,r,house,11/6/18 0:00,NY,25,louise slaughter,1986,41.4
mary gay scanlon,d,house,11/6/18 0:00,PA,7,pat meehan,2010,28.4
pearl kim,r,house,11/6/18 0:00,PA,7,pat meehan,2010,100
marty nothstein,r,house,11/6/18 0:00,PA,15,charlie dent,2004,50.5
susan wild,d,house,11/6/18 0:00,PA,15,charlie dent,2004,53.4
bradley byrne,r,house,11/6/18 0:00,AL,1,bradley byrne,2013,63.3
robert kennedy jr,d,house,11/6/18 0:00,AL,1,bradley byrne,2013,36.7
martha roby,r,house,11/6/18 0:00,AL,2,martha roby,2010,61.5
tabitha isner,d,house,11/6/18 0:00,AL,2,martha roby,2010,38.5
mike rogers,r,house,11/6/18 0:00,AL,3,mike rogers,2002,63.8
mallory hagan,d,house,11/6/18 0:00,AL,3,mike rogers,2002,36.2
robert aderholt,r,house,11/6/18 0:00,AL,4,robert aderholt,1996,79.9
lee auman,d,house,11/6/18 0:00,AL,4,robert aderholt,1996,20.1
mo brooks,r,house,11/6/18 0:00,AL,5,mo brooks,2010,61.1
peter joffrion,d,house,11/6/18 0:00,AL,5,mo brooks,2010,39.9
gary palmer,r,house,11/6/18 0:00,AL,6,gary palmer,2014,69.3
danner kline,d,house,11/6/18 0:00,AL,6,gary palmer,2014,30.7
terri sewell,d,house,11/6/18 0:00,AL,7,terri sewell,2010,97.8
don young,r,house,11/6/18 0:00,AK,0,don young,1972,54
tom ohalleran,d,house,11/6/18 0:00,AZ,1,tom ohalleran,2016,53.8
wendy rogers,r,house,11/6/18 0:00,AZ,1,tom ohalleran,2016,46.2
ann kirkpatrick,d,house,11/6/18 0:00,AZ,2,martha mcsally,2014,54.4
lea marquezpeterson,r,house,11/6/18 0:00,AZ,2,martha mcsally,2014,45.6
raul grijalva,d,house,11/6/18 0:00,AZ,3,raul grijalva,2002,63.4
nick pierson,r,house,11/6/18 0:00,AZ,3,raul grijalva,2002,36.6
paul gosar,r,house,11/6/18 0:00,AZ,4,paul gosar,2010,68.2
david brill,d,house,11/6/18 0:00,AZ,4,paul gosar,2010,30.5
haryaksha gregor knauer,o,house,11/6/18 0:00,AZ,4,paul gosar,2010,1.3
andy biggs,r,house,11/6/18 0:00,AZ,5,andy biggs,2016,59.4
joan greene,d,house,11/6/18 0:00,AZ,5,andy biggs,2016,40.6
david schweikert,r,house,11/6/18 0:00,AZ,6,david schweikert,2010,55.3
anita malik,d,house,11/6/18 0:00,AZ,6,david schweikert,2010,44.7
ruben gallego,d,house,11/6/18 0:00,AZ,7,ruben gallego,2014,85.7
gary swing,o,house,11/6/18 0:00,AZ,7,ruben gallego,2014,14.3
debbie lesko,r,house,11/6/18 0:00,AZ,8,debbie lesko,2018,55.6
hiral tipirneni,d,house,11/6/18 0:00,AZ,8,debbie lesko,2018,44.4
greg stanton,d,house,11/6/18 0:00,AZ,9,kyrsten sinema,2012,60.9
steve ferrara,r,house,11/6/18 0:00,AZ,9,kyrsten sinema,2012,39.1
rick crawford,r,house,11/6/18 0:00,AR,1,rick crawford,2010,69
chintan desai,d,house,11/6/18 0:00,AR,1,rick crawford,2010,28.7
elvis presley,o,house,11/6/18 0:00,AR,1,rick crawford,2010,2.3
french hill,r,house,11/6/18 0:00,AR,2,french hill,2014,52.1
clarke tucker,d,house,11/6/18 0:00,AR,2,french hill,2014,45.8
joe ryne swafford,o,house,11/6/18 0:00,AR,2,french hill,2014,2
steve womack,r,house,11/6/18 0:00,AR,3,steve womack,2010,64.9
josh mahony,d,house,11/6/18 0:00,AR,3,steve womack,2010,32.5
michael kalagias,o,house,11/6/18 0:00,AR,3,steve womack,2010,2.6
josh moody,o,house,11/6/18 0:00,AR,3,steve womack,2010,
bruce westerman,r,house,11/6/18 0:00,AR,4,bruce westerman,2014,66.8
hayden shamel,d,house,11/6/18 0:00,AR,4,bruce westerman,2014,31.3
tom canada,o,house,11/6/18 0:00,AR,4,bruce westerman,2014,1.9
jack foster,o,house,11/6/18 0:00,AR,4,bruce westerman,2014,
lee mcqueen,o,house,11/6/18 0:00,AR,4,bruce westerman,2014,
doug lamalfa,r,house,11/6/18 0:00,CA,1,doug lamalfa,2012,51.7
audrey denney,d,house,11/6/18 0:00,CA,1,doug lamalfa,2012,17.9
jared huffman,d,house,11/6/18 0:00,CA,2,jared huffman,2012,76.7
dale mensing,r,house,11/6/18 0:00,CA,2,jared huffman,2012,23.3
john garamendi,d,house,11/6/18 0:00,CA,3,john garamendi,2009,58
charlie schaupp,r,house,11/6/18 0:00,CA,3,john garamendi,2009,42
tom mcclintock,r,house,11/6/18 0:00,CA,4,tom mcclintock,2008,54.2
jessica morse,d,house,11/6/18 0:00,CA,4,tom mcclintock,2008,45.8
mike thompson,d,house,11/6/18 0:00,CA,5,mike thompson,1998,78.4
doris matsui,d,house,11/6/18 0:00,CA,6,doris matsui,2005,80.4
jrmar jefferson,d,house,11/6/18 0:00,CA,6,doris matsui,2005,19.6
ami bera,d,house,11/6/18 0:00,CA,7,ami bera,2012,55
andrew grant,r,house,11/6/18 0:00,CA,7,ami bera,2012,45
paul cook,r,house,11/6/18 0:00,CA,8,paul cook,2012,60
tim donnelly,r,house,11/6/18 0:00,CA,8,paul cook,2012,40
jerry mcnerney,d,house,11/6/18 0:00,CA,9,jerry mcnerney,2006,56.4
marla livengood,r,house,11/6/18 0:00,CA,9,jerry mcnerney,2006,43.6
josh harder,d,house,11/6/18 0:00,CA,10,jeff denham,2010,52.2
jeff denham,r,house,11/6/18 0:00,CA,10,jeff denham,2010,47.8
mark desaulnier,d,house,11/6/18 0:00,CA,11,mark desaulnier,2014,74.1
john fitzgerald,r,house,11/6/18 0:00,CA,11,mark desaulnier,2014,25.9
nancy pelosi,d,house,11/6/18 0:00,CA,12,nancy pelosi,1987,86.8
lisa remmer,r,house,11/6/18 0:00,CA,12,nancy pelosi,1987,13.2
barbara lee,d,house,11/6/18 0:00,CA,13,barbara lee,1998,88.4
laura wells,o,house,11/6/18 0:00,CA,13,barbara lee,1998,11.6
jackie speier,d,house,11/6/18 0:00,CA,14,jackie speier,2008,79.2
cristina osmena,r,house,11/6/18 0:00,CA,14,jackie speier,2008,20.8
eric swalwell,d,house,11/6/18 0:00,CA,15,eric swalwell,2012,73
rudy peters,r,house,11/6/18 0:00,CA,15,eric swalwell,2012,27
jim costa,d,house,11/6/18 0:00,CA,16,jim costa,2004,57.5
elizabeth heng,r,house,11/6/18 0:00,CA,16,jim costa,2004,42.5
ro khanna,d,house,11/6/18 0:00,CA,17,ro khanna,2016,75.3
ron cohen,r,house,11/6/18 0:00,CA,17,ro khanna,2016,24.7
anna eshoo,d,house,11/6/18 0:00,CA,18,anna eshoo,1992,74.5
christine russell,r,house,11/6/18 0:00,CA,18,anna eshoo,1992,25.5
zoe lofgren,d,house,11/6/18 0:00,CA,19,zoe lofgren,1994,73.7
justin aguilera,r,house,11/6/18 0:00,CA,19,zoe lofgren,1994,26.3
jimmy panetta,d,house,11/6/18 0:00,CA,20,jimmy panetta,2016,81.3
tj cox,d,house,11/6/18 0:00,CA,21,david valadao,2012,50.3
david valadao,r,house,11/6/18 0:00,CA,21,david valadao,2012,49.7
devin nunes,r,house,11/6/18 0:00,CA,22,devin nunes,2002,52.8
andrew janz,d,house,11/6/18 0:00,CA,22,devin nunes,2002,47.2
kevin mccarthy,r,house,11/6/18 0:00,CA,23,kevin mccarthy,2006,63.8
tatiana matta,d,house,11/6/18 0:00,CA,23,kevin mccarthy,2006,36.2
salud carbajal,d,house,11/6/18 0:00,CA,24,salud carbajal,2016,58.1
justin fareed,r,house,11/6/18 0:00,CA,24,salud carbajal,2016,41.9
katie hill,d,house,11/6/18 0:00,CA,25,steve knight,2014,54.4
steve knight,r,house,11/6/18 0:00,CA,25,steve knight,2014,45.6
julia brownley,d,house,11/6/18 0:00,CA,26,julia brownley,2012,61.8
antonio sabato jr,r,house,11/6/18 0:00,CA,26,julia brownley,2012,38.2
judy chu,d,house,11/6/18 0:00,CA,27,judy chu,2009,79.2
bryan witt,d,house,11/6/18 0:00,CA,27,judy chu,2009,20.8
adam schiff,d,house,11/6/18 0:00,CA,28,adam schiff,2000,78.4
johnny nalbandian,r,house,11/6/18 0:00,CA,28,adam schiff,2000,21.6
tony cardenas,d,house,11/6/18 0:00,CA,29,tony cardenas,2012,80.6
benito bernal,r,house,11/6/18 0:00,CA,29,tony cardenas,2012,19.4
brad sherman,d,house,11/6/18 0:00,CA,30,brad sherman,1996,73.4
mark reed,r,house,11/6/18 0:00,CA,30,brad sherman,1996,26.6
pete aguilar,d,house,11/6/18 0:00,CA,31,pete aguilar,2014,58.6
sean flynn,r,house,11/6/18 0:00,CA,31,pete aguilar,2014,41.4
grace napolitano,d,house,11/6/18 0:00,CA,32,grace napolitano,1998,68.8
joshua scott,r,house,11/6/18 0:00,CA,32,grace napolitano,1998,31.2
ted lieu,d,house,11/6/18 0:00,CA,33,ted lieu,2014,70
kenneth wright,r,house,11/6/18 0:00,CA,33,ted lieu,2014,30
jimmy gomez,d,house,11/6/18 0:00,CA,34,jimmy gomez,2017,72.5
kenneth mejia,o,house,11/6/18 0:00,CA,34,jimmy gomez,2017,27.5
norma torres,d,house,11/6/18 0:00,CA,35,norma torres,2014,69.4
christian valiente,r,house,11/6/18 0:00,CA,35,norma torres,2014,30.6
raul ruiz,d,house,11/6/18 0:00,CA,36,raul ruiz,2012,58.6
kimberlin brown pelzer,r,house,11/6/18 0:00,CA,36,raul ruiz,2012,41.4
karen bass,d,house,11/6/18 0:00,CA,37,karen bass,2010,89.1
ron bassilian,r,house,11/6/18 0:00,CA,37,karen bass,2010,10.9
linda sanchez,d,house,11/6/18 0:00,CA,38,linda sanchez,2002,68.9
ryan downing,r,house,11/6/18 0:00,CA,38,linda sanchez,2002,31.1
gil cisneros,d,house,11/6/18 0:00,CA,39,ed royce,1992,51.6
young kim,r,house,11/6/18 0:00,CA,39,ed royce,1992,48.4
lucille roybalallard,d,house,11/6/18 0:00,CA,40,lucille roybalallard,1992,77.3
rodolfo barragan,o,house,11/6/18 0:00,CA,40,lucille roybalallard,1992,22.7
mark takano,d,house,11/6/18 0:00,CA,41,mark takano,2012,64.3
aja smith,r,house,11/6/18 0:00,CA,41,mark takano,2012,35.7
ken calvert,r,house,11/6/18 0:00,CA,42,ken calvert,1992,56.9
julia peacock,d,house,11/6/18 0:00,CA,42,ken calvert,1992,43.1
maxine waters,d,house,11/6/18 0:00,CA,43,maxine waters,1990,77.7
omar navarro,r,house,11/6/18 0:00,CA,43,maxine waters,1990,22.3
nanette barragan,d,house,11/6/18 0:00,CA,44,nanette barragan,2016,68.3
aja brown,d,house,11/6/18 0:00,CA,44,nanette barragan,2016,31.7
katie porter,d,house,11/6/18 0:00,CA,45,mimi walters,2014,52.1
mimi walters,r,house,11/6/18 0:00,CA,45,mimi walters,2014,47.9
lou correa,d,house,11/6/18 0:00,CA,46,lou correa,2016,69.1
russell lambert,r,house,11/6/18 0:00,CA,46,lou correa,2016,30.9
alan lowenthal,d,house,11/6/18 0:00,CA,47,alan lowenthal,2012,64.9
john briscoe,r,house,11/6/18 0:00,CA,47,alan lowenthal,2012,35.1
harley rouda,d,house,11/6/18 0:00,CA,48,dana rohrabacher,1988,53.6
dana rohrabacher,r,house,11/6/18 0:00,CA,48,dana rohrabacher,1988,46.4
mike levin,d,house,11/6/18 0:00,CA,49,darrell issa,2000,56.4
diane harkey,r,house,11/6/18 0:00,CA,49,darrell issa,2000,43.6
duncan hunter,r,house,11/6/18 0:00,CA,50,duncan hunter,2008,51.8
ammar campanajjar,d,house,11/6/18 0:00,CA,50,duncan hunter,2008,48.2
juan vargas,d,house,11/6/18 0:00,CA,51,juan vargas,2012,71.1
juan hidalgo jr,r,house,11/6/18 0:00,CA,51,juan vargas,2012,28.9
scott peters,d,house,11/6/18 0:00,CA,52,scott peters,2012,63.8
omar qudrat,r,house,11/6/18 0:00,CA,52,scott peters,2012,36.2
susan davis,d,house,11/6/18 0:00,CA,53,susan davis,2000,69
morgan murtaugh,r,house,11/6/18 0:00,CA,53,susan davis,2000,31
diana degette,d,house,11/6/18 0:00,CO,1,diana degette,1996,68.24
casper stockham,r,house,11/6/18 0:00,CO,1,diana degette,1996,23.05
gary swing,o,house,11/6/18 0:00,CO,1,diana degette,1996,
joe neguse,d,house,11/6/18 0:00,CO,2,jared polis,2008,65.74
peter yu,r,house,11/6/18 0:00,CO,2,jared polis,2008,100
scott tipton,r,house,11/6/18 0:00,CO,3,scott tipton,2010,100
mary malarsie,o,house,11/6/18 0:00,CO,3,scott tipton,2010,3.21
diane mitsch bush,d,house,11/6/18 0:00,CO,3,scott tipton,2010,64.08
ken buck,r,house,11/6/18 0:00,CO,4,ken buck,2014,60.62
karen mccormick,d,house,11/6/18 0:00,CO,4,ken buck,2014,39.38
doug lamborn,r,house,11/6/18 0:00,CO,5,doug lamborn,2006,52.16
stephany rose spaulding,d,house,11/6/18 0:00,CO,5,doug lamborn,2006,39.16
jason crow,d,house,11/6/18 0:00,CO,6,mike coffman,2008,65.93
mike coffman,r,house,11/6/18 0:00,CO,6,mike coffman,2008,100
ed perlmutter,d,house,11/6/18 0:00,CO,7,ed perlmutter,2006,60.4
mark barrington,r,house,11/6/18 0:00,CO,7,ed perlmutter,2006,35.4
john larson,d,house,11/6/18 0:00,CT,1,john larson,1998,63.7
jennifer nye,r,house,11/6/18 0:00,CT,1,john larson,1998,35.2
thomas mccormick,o,house,11/6/18 0:00,CT,1,john larson,1998,1.1
joe courtney,d,house,11/6/18 0:00,CT,2,joe courtney,2006,62.1
danny postemski,r,house,11/6/18 0:00,CT,2,joe courtney,2006,35.5
michelle bicking,o,house,11/6/18 0:00,CT,2,joe courtney,2006,1.2
rosa delauro,d,house,11/6/18 0:00,CT,3,rosa delauro,1990,64.6
angel cadena,r,house,11/6/18 0:00,CT,3,rosa delauro,1990,35.4
jim himes,d,house,11/6/18 0:00,CT,4,jim himes,2008,61.2
harry arora,r,house,11/6/18 0:00,CT,4,jim himes,2008,38.8
jahana hayes,d,house,11/6/18 0:00,CT,5,elizabeth esty,2012,55.9
manny santos,r,house,11/6/18 0:00,CT,5,elizabeth esty,2012,44.1
lisa blunt rochester,d,house,11/6/18 0:00,DE,0,lisa blunt rochester,2016,64.5
scott walker,r,house,11/6/18 0:00,DE,0,lisa blunt rochester,2016,35.5
matt gaetz,r,house,11/6/18 0:00,FL,1,matt gaetz,2016,67.1
jennifer zimmerman,d,house,11/6/18 0:00,FL,1,matt gaetz,2016,32.9
neal dunn,r,house,11/6/18 0:00,FL,2,neal dunn,2016,67.4
bob rackleff,d,house,11/6/18 0:00,FL,2,neal dunn,2016,32.6
ted yoho,r,house,11/6/18 0:00,FL,3,ted yoho,2012,57.6
yvonne hayes hinson,d,house,11/6/18 0:00,FL,3,ted yoho,2012,42.4
john rutherford,r,house,11/6/18 0:00,FL,4,john rutherford,2016,65.2
ges selmont,d,house,11/6/18 0:00,FL,4,john rutherford,2016,32.3
al lawson,d,house,11/6/18 0:00,FL,5,al lawson,2016,66.8
virginia fuller,r,house,11/6/18 0:00,FL,5,al lawson,2016,33.2
michael waltz,r,house,11/6/18 0:00,FL,6,,,56.3
nancy soderberg,d,house,11/6/18 0:00,FL,6,,,43.7
stephanie murphy,d,house,11/6/18 0:00,FL,7,stephanie murphy,2016,58
mike miller,r,house,11/6/18 0:00,FL,7,stephanie murphy,2016,42
bill posey,r,house,11/6/18 0:00,FL,8,bill posey,2008,60.5
sanjay patel,d,house,11/6/18 0:00,FL,8,bill posey,2008,39.5
darren soto,d,house,11/6/18 0:00,FL,9,darren soto,2016,58
wayne liebnitzky,r,house,11/6/18 0:00,FL,9,darren soto,2016,42
val demings,d,house,11/6/18 0:00,FL,10,val demings,2016,75
daniel webster,r,house,11/6/18 0:00,FL,11,daniel webster,2010,65.2
dana cottrell,d,house,11/6/18 0:00,FL,11,daniel webster,2010,34.8
gus bilirakis,r,house,11/6/18 0:00,FL,12,gus bilirakis,2006,58.1
chris hunter,d,house,11/6/18 0:00,FL,12,gus bilirakis,2006,37.2
charlie crist,d,house,11/6/18 0:00,FL,13,charlie crist,2016,57.6
george buck,r,house,11/6/18 0:00,FL,13,charlie crist,2016,42.4
kathy castor,d,house,11/6/18 0:00,FL,14,kathy castor,2006,100
ross spano,r,house,11/6/18 0:00,FL,15,dennis ross,2010,53
kristen carlson,d,house,11/6/18 0:00,FL,15,dennis ross,2010,47
vern buchanan,r,house,11/6/18 0:00,FL,16,vern buchanan,2006,54.6
david shapiro,d,house,11/6/18 0:00,FL,16,vern buchanan,2006,45.4
greg steube,r,house,11/6/18 0:00,FL,17,tom rooney,2008,62.3
allen ellison,d,house,11/6/18 0:00,FL,17,tom rooney,2008,37.7
brian mast,r,house,11/6/18 0:00,FL,18,brian mast,2016,54.3
lauren baer,d,house,11/6/18 0:00,FL,18,brian mast,2016,45.7
francis rooney,r,house,11/6/18 0:00,FL,19,francis rooney,2016,62.3
david holden,d,house,11/6/18 0:00,FL,19,francis rooney,2016,37.7
alcee hastings,d,house,11/6/18 0:00,FL,20,alcee hastings,1992,73.6
lois frankel,d,house,11/6/18 0:00,FL,21,lois frankel,2012,100
ted deutch,d,house,11/6/18 0:00,FL,22,ted deutch,2010,62
nicolas kimaz,r,house,11/6/18 0:00,FL,22,ted deutch,2010,38
debbie wasserman schultz,d,house,11/6/18 0:00,FL,23,debbie wasserman schultz,2004,58.5
joseph kaufman,r,house,11/6/18 0:00,FL,23,debbie wasserman schultz,2004,36
frederica wilson,d,house,11/6/18 0:00,FL,24,frederica wilson,2010,83.7
mario diazbalart,r,house,11/6/18 0:00,FL,25,mario diazbalart,2002,60.5
mary barzee flores,d,house,11/6/18 0:00,FL,25,mario diazbalart,2002,39.5
debbie mucarselpowell,d,house,11/6/18 0:00,FL,26,carlos curbelo,2014,50.9
carlos curbelo,r,house,11/6/18 0:00,FL,26,carlos curbelo,2014,49.1
donna shalala,d,house,11/6/18 0:00,FL,27,ileana roslehtinen,1989,51.8
maria elvira salazar,r,house,11/6/18 0:00,FL,27,ileana roslehtinen,1989,45.8
buddy carter,r,house,11/6/18 0:00,GA,1,buddy carter,2014,57.7
lisa ring,d,house,11/6/18 0:00,GA,1,buddy carter,2014,42.3
sanford bishop,d,house,11/6/18 0:00,GA,2,sanford bishop,1992,59.6
herman west,r,house,11/6/18 0:00,GA,2,sanford bishop,1992,40.4
drew ferguson,r,house,11/6/18 0:00,GA,3,drew ferguson,2016,65.5
chuck enderlin,d,house,11/6/18 0:00,GA,3,drew ferguson,2016,34.5
hank johnson,d,house,11/6/18 0:00,GA,4,hank johnson,2006,78.8
joe profit,r,house,11/6/18 0:00,GA,4,hank johnson,2006,21.2
john lewis,d,house,11/6/18 0:00,GA,5,john lewis,1986,100
david mccaigue,o,house,11/6/18 0:00,GA,5,john lewis,1986,
lucy mcbath,d,house,11/6/18 0:00,GA,6,karen handel,2017,50.5
karen handel,r,house,11/6/18 0:00,GA,6,karen handel,2017,49.5
rob woodall,r,house,11/6/18 0:00,GA,7,rob woodall,2010,50.07
carolyn bourdeaux,d,house,11/6/18 0:00,GA,7,rob woodall,2010,49.93
austin scott,r,house,11/6/18 0:00,GA,8,austin scott,2010,100
doug collins,r,house,11/6/18 0:00,GA,9,doug collins,2012,79.5
josh mccall,d,house,11/6/18 0:00,GA,9,doug collins,2012,20.5
robin gilmer,o,house,11/6/18 0:00,GA,9,doug collins,2012,
jody hice,r,house,11/6/18 0:00,GA,10,jody hice,2014,62.9
tabitha johnsongreen,d,house,11/6/18 0:00,GA,10,jody hice,2014,37.1
barry loudermilk,r,house,11/6/18 0:00,GA,11,barry loudermilk,2014,61.8
flynn broady,d,house,11/6/18 0:00,GA,11,barry loudermilk,2014,38.2
rick allen,r,house,11/6/18 0:00,GA,12,rick allen,2014,59.5
francys johnson,d,house,11/6/18 0:00,GA,12,rick allen,2014,40.5
david scott,d,house,11/6/18 0:00,GA,13,david scott,2002,76.2
david callahan,r,house,11/6/18 0:00,GA,13,david scott,2002,23.8
martin cowen,o,house,11/6/18 0:00,GA,13,david scott,2002,
tom graves,r,house,11/6/18 0:00,GA,14,tom graves,2010,76.5
steve foster,d,house,11/6/18 0:00,GA,14,tom graves,2010,23.5
ed case,d,house,11/6/18 0:00,HI,1,colleen hanabusa,2016,73.1
campbell cavasso,r,house,11/6/18 0:00,HI,1,colleen hanabusa,2016,23.1
michelle tippens,o,house,11/6/18 0:00,HI,1,colleen hanabusa,2016,1.9
zachary burd,o,house,11/6/18 0:00,HI,1,colleen hanabusa,2016,1.2
calvin griffin,o,house,11/6/18 0:00,HI,1,colleen hanabusa,2016,0.7
tulsi gabbard,d,house,11/6/18 0:00,HI,2,tulsi gabbard,2012,77.4
brian evans,r,house,11/6/18 0:00,HI,2,tulsi gabbard,2012,22.6
russ fulcher,r,house,11/6/18 0:00,ID,1,raul labrador,2010,63.3
cristina mcneil,d,house,11/6/18 0:00,ID,1,raul labrador,2010,30.3
natalie fleming,o,house,11/6/18 0:00,ID,1,raul labrador,2010,2
scott howard,o,house,11/6/18 0:00,ID,1,raul labrador,2010,1.7
paul farmer,o,house,11/6/18 0:00,ID,1,raul labrador,2010,1.4
prolife,o,house,11/6/18 0:00,ID,1,raul labrador,2010,1
gordon counsil,o,house,11/6/18 0:00,ID,1,raul labrador,2010,0.3
mike simpson,r,house,11/6/18 0:00,ID,2,mike simpson,1998,60.7
aaron swisher,d,house,11/6/18 0:00,ID,2,mike simpson,1998,39.3
bobby rush,d,house,11/6/18 0:00,IL,1,bobby rush,1992,100
jimmy tillman,r,house,11/6/18 0:00,IL,1,bobby rush,1992,20.3
robin kelly,d,house,11/6/18 0:00,IL,2,robin kelly,2013,81
david merkle,r,house,11/6/18 0:00,IL,2,robin kelly,2013,19
dan lipinski,d,house,11/6/18 0:00,IL,3,dan lipinski,2004,73.7
arthur jones,r,house,11/6/18 0:00,IL,3,dan lipinski,2004,26.3
garcia,d,house,11/6/18 0:00,IL,4,luis gutierrez,1992,86.5
mark lorch,r,house,11/6/18 0:00,IL,4,luis gutierrez,1992,13.5
mike quigley,d,house,11/6/18 0:00,IL,5,mike quigley,2008,62.5
tom hanson,r,house,11/6/18 0:00,IL,5,mike quigley,2008,22.1
sean casten,d,house,11/6/18 0:00,IL,6,peter roskam,2006,52.8
peter roskam,r,house,11/6/18 0:00,IL,6,peter roskam,2006,47.2
danny davis,d,house,11/6/18 0:00,IL,7,danny davis,1996,87.6
craig cameron,r,house,11/6/18 0:00,IL,7,danny davis,1996,12.4
raja krishnamoorthi,d,house,11/6/18 0:00,IL,8,raja krishnamoorthi,2016,65.7
jd diganvker,r,house,11/6/18 0:00,IL,8,raja krishnamoorthi,2016,34.3
jan schakowsky,d,house,11/6/18 0:00,IL,9,jan schakowsky,1998,73.3
john elleson,r,house,11/6/18 0:00,IL,9,jan schakowsky,1998,26.7
brad schneider,d,house,11/6/18 0:00,IL,10,brad schneider,2016,65.4
douglas bennett,r,house,11/6/18 0:00,IL,10,brad schneider,2016,34.6
bill foster,d,house,11/6/18 0:00,IL,11,bill foster,2012,63.6
nick stella,r,house,11/6/18 0:00,IL,11,bill foster,2012,36.4
mike bost,r,house,11/6/18 0:00,IL,12,mike bost,2014,51.7
brendan kelly,d,house,11/6/18 0:00,IL,12,mike bost,2014,45.3
randall auxier,o,house,11/6/18 0:00,IL,12,mike bost,2014,3
rodney davis,r,house,11/6/18 0:00,IL,13,rodney davis,2012,52.2
betsy dirksen londrigan,d,house,11/6/18 0:00,IL,13,rodney davis,2012,47.8
lauren underwood,d,house,11/6/18 0:00,IL,14,randy hultgren,2010,51.9
randy hultgren,r,house,11/6/18 0:00,IL,14,randy hultgren,2010,48.1
john shimkus,r,house,11/6/18 0:00,IL,15,john shimkus,1996,71.7
kevin gaither,d,house,11/6/18 0:00,IL,15,john shimkus,1996,28.3
adam kinzinger,r,house,11/6/18 0:00,IL,16,adam kinzinger,2010,59.5
sara dady,d,house,11/6/18 0:00,IL,16,adam kinzinger,2010,40.4
cheri bustos,d,house,11/6/18 0:00,IL,17,cheri bustos,2012,61.9
bill fawell,r,house,11/6/18 0:00,IL,17,cheri bustos,2012,38.1
darin lahood,r,house,11/6/18 0:00,IL,18,darin lahood,2015,67.2
junius rodriguez,d,house,11/6/18 0:00,IL,18,darin lahood,2015,32.8
pete visclosky,d,house,11/6/18 0:00,IN,1,pete visclosky,1984,65.1
mark leyva,r,house,11/6/18 0:00,IN,1,pete visclosky,1984,34.9
jackie walorski,r,house,11/6/18 0:00,IN,2,jackie walorski,2012,54.82
mel hall,d,house,11/6/18 0:00,IN,2,jackie walorski,2012,45.18
jim banks,r,house,11/6/18 0:00,IN,3,jim banks,2016,64.7
courtney tritch,d,house,11/6/18 0:00,IN,3,jim banks,2016,35.3
jim baird,r,house,11/6/18 0:00,IN,4,todd rokita,2010,
tobi beck,d,house,11/6/18 0:00,IN,4,todd rokita,2010,35.94
susan brooks,r,house,11/6/18 0:00,IN,5,susan brooks,2012,56.77
dee thornton,d,house,11/6/18 0:00,IN,5,susan brooks,2012,43.23
greg pence,r,house,11/6/18 0:00,IN,6,luke messer,2012,63.82
jeannine lake,d,house,11/6/18 0:00,IN,6,luke messer,2012,32.86
andre carson,d,house,11/6/18 0:00,IN,7,andre carson,2008,64.9
harmon,r,house,11/6/18 0:00,IN,7,andre carson,2008,35.1
larry bucshon,r,house,11/6/18 0:00,IN,8,larry bucshon,2010,64.4
william tanoos,d,house,11/6/18 0:00,IN,8,larry bucshon,2010,35.6
trey hollingsworth,r,house,11/6/18 0:00,IN,9,trey hollingsworth,2016,56.48
liz watson,d,house,11/6/18 0:00,IN,9,trey hollingsworth,2016,43.52
abby finkenauer,d,house,11/6/18 0:00,IA,1,rod blum,2014,50.9
rod blum,r,house,11/6/18 0:00,IA,1,rod blum,2014,46
henry gaff,o,house,11/6/18 0:00,IA,1,rod blum,2014,3.1
dave loebsack,d,house,11/6/18 0:00,IA,2,dave loebsack,2006,52.8
christopher peters,r,house,11/6/18 0:00,IA,2,dave loebsack,2006,42.6
mike strauss,o,house,11/6/18 0:00,IA,2,dave loebsack,2006,2
daniel clark,o,house,11/6/18 0:00,IA,2,dave loebsack,2006,0.6
