,name,party,race_type,year,state
0,scott brown,r,senate,2010,MA
1,martha coakley,d,senate,2010,MA
2,joseph l kennedy,o,senate,2010,MA
3,chris coons,d,senate,2010,DE
4,christine odonnell,r,senate,2010,DE
5,glenn miller,o,senate,2010,DE
6,james rash,o,senate,2010,DE
7,mark kirk,r,senate,2010,IL
8,alexi giannoulias,d,senate,2010,IL
9,lealan jones,o,senate,2010,IL
10,mike labino,o,senate,2010,IL
11,kirsten gillibrand,d,senate,2010,NY
12,joseph dioguardi,r,senate,2010,NY
13,cecile lawrence,o,senate,2010,NY
14,08joseph huff,o,senate,2010,NY
15,joe manchin,d,senate,2010,WV
16,john raese,r,senate,2010,WV
17,jesse johnson,o,senate,2010,WV
18,jeff becker,o,senate,2010,WV
19,richard shelby,r,senate,2010,AL
20,william g barnes,d,senate,2010,AL
21,lisa murkowski,r,senate,2010,AK
22,joe miller,r,senate,2010,AK
23,scott mcadams,d,senate,2010,AK
24,john mccain,r,senate,2010,AZ
25,rodney glassman,d,senate,2010,AZ
26,david nolan,o,senate,2010,AZ
27,jerry joslyn,o,senate,2010,AZ
28,john boozman,r,senate,2010,AR
29,blanche lincoln,d,senate,2010,AR
30,trevor drown,o,senate,2010,AR
31,john gray,o,senate,2010,AR
32,barbara boxer,d,senate,2010,CA
33,carly fiorina,r,senate,2010,CA
34,gail lightfoot,o,senate,2010,CA
35,edward noonan,o,senate,2010,CA
36,duane roberts,o,senate,2010,CA
37,michael bennet,d,senate,2010,CO
38,ken buck,r,senate,2010,CO
39,bob kinsey,o,senate,2010,CO
40,maclyn stringer,o,senate,2010,CO
41,richard blumenthal,d,senate,2010,CT
42,linda mcmahon,r,senate,2010,CT
43,warren mosler,o,senate,2010,CT
44,john mertens,o,senate,2010,CT
45,marco rubio,r,senate,2010,FL
46,charlie crist,o,senate,2010,FL
47,kendrick meek,d,senate,2010,FL
48,alexander snitker,o,senate,2010,FL
49,johnny isakson,r,senate,2010,GA
50,michael thurmond,d,senate,2010,GA
51,chuck donovan,o,senate,2010,GA
52,daniel inouye,d,senate,2010,HI
53,campbell cavasso,r,senate,2010,HI
54,james brewer,o,senate,2010,HI
55,jeff mallan,o,senate,2010,HI
56,mike crapo,r,senate,2010,ID
57,tom sullivan,d,senate,2010,ID
58,randy bergquist,o,senate,2010,ID
59,mark kirk,r,senate,2010,IL
60,alexi giannoulias,d,senate,2010,IL
61,lealan jones,o,senate,2010,IL
62,mike labino,o,senate,2010,IL
63,dan coats,r,senate,2010,IN
64,brad ellsworth,d,senate,2010,IN
65,rebecca sinkburris,o,senate,2010,IN
66,chuck grassley,r,senate,2010,IA
67,roxanne conlin,d,senate,2010,IA
68,john heiderscheit,o,senate,2010,IA
69,jerry moran,r,senate,2010,KS
70,lisa johnston,d,senate,2010,KS
71,michael dann,o,senate,2010,KS
72,joe bellis,o,senate,2010,KS
73,rand paul,r,senate,2010,KY
74,jack conway,d,senate,2010,KY
75,david vitter,r,senate,2010,LA
76,charles melancon,d,senate,2010,LA
77,randall hayes,o,senate,2010,LA
78,michael brown,o,senate,2010,LA
79,barbara mikulski,d,senate,2010,MD
80,eric wargotz,r,senate,2010,MD
81,kenniss henry,o,senate,2010,MD
82,richard shawver,o,senate,2010,MD
83,roy blunt,r,senate,2010,MO
84,robin carnahan,d,senate,2010,MO
85,jonathan dine,o,senate,2010,MO
86,jerry beck,o,senate,2010,MO
87,harry reid,d,senate,2010,NV
88,sharron angle,r,senate,2010,NV
89,scott ashjian,o,senate,2010,NV
90,kelly ayotte,r,senate,2010,NH
91,paul hodes,d,senate,2010,NH
92,chris booth,o,senate,2010,NH
93,ken blevens,o,senate,2010,NH
94,chuck schumer,d,senate,2010,NY
95,jay townsend,r,senate,2010,NY
96,colia clark,o,senate,2010,NY
97,randy credico,o,senate,2010,NY
98,richard burr,r,senate,2010,NC
99,elaine marshall,d,senate,2010,NC
100,mike beitler,o,senate,2010,NC
101,john hoeven,r,senate,2010,ND
102,tracy potter,d,senate,2010,ND
103,keith hanson,o,senate,2010,ND
104,rob portman,r,senate,2010,OH
105,lee fisher,d,senate,2010,OH
106,eric deaton,o,senate,2010,OH
107,michael pryce,o,senate,2010,OH
108,tom coburn,r,senate,2010,OK
109,jim rogers,d,senate,2010,OK
110,stephen wallace,o,senate,2010,OK
111,ronald dwyer,o,senate,2010,OK
112,ron wyden,d,senate,2010,OR
113,jim huffman,r,senate,2010,OR
114,marc delphine,o,senate,2010,OR
115,rick staggenborg,o,senate,2010,OR
116,pat toomey,r,senate,2010,PA
117,joe sestak,d,senate,2010,PA
118,jim demint,r,senate,2010,SC
119,alvin greene,d,senate,2010,SC
120,tom clements,o,senate,2010,SC
121,john thune,r,senate,2010,SD
122,mike lee,r,senate,2010,UT
123,sam granato,d,senate,2010,UT
124,scott bradley,o,senate,2010,UT
125,patrick leahy,d,senate,2010,VT
126,len britton,r,senate,2010,VT
127,daniel freilich,o,senate,2010,VT
128,cris ericson,o,senate,2010,VT
129,stephen cain,o,senate,2010,VT
130,patty murray,d,senate,2010,WA
131,dino rossi,r,senate,2010,WA
132,ron johnson,r,senate,2010,WI
133,russ feingold,d,senate,2010,WI
134,rob taylor,o,senate,2010,WI
0,jeff flake,r,senate,2012,AZ
1,richard carmona,d,senate,2012,AZ
2,marc victor,o,senate,2012,AZ
3,dianne feinstein,d,senate,2012,CA
4,elizabeth emken,r,senate,2012,CA
5,chris murphy,d,senate,2012,CT
6,linda mcmahon,r,senate,2012,CT
7,paul passarelli,o,senate,2012,CT
