,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
0,pennsylvania 12th district special election,house,PA,"['burns', 'critz']",ppp (d),"{'burns': 44.0, 'critz': 41.0}",burns,3.0,2010-04-20,critz,12
1,new hampshire 1st district,house,NH,"['guinta', 'shea-porter']",ppp (d),"{'guinta': 46.0, 'shea-porter': 45.0}",guinta,1.0,2010-04-22,guinta,1
2,new hampshire 2nd district,house,NH,"['bass', 'swett']",ppp (d),"{'bass': 47.0, 'swett': 32.0}",bass,15.0,2010-04-22,bass,2
3,new hampshire 1st district,house,NH,"['guinta', 'shea-porter']",wmur/unh,"{'guinta': 42.0, 'shea-porter': 38.0}",guinta,4.0,2010-04-30,guinta,1
4,new hampshire 2nd district,house,NH,"['bass', 'swett']",wmur/unh,"{'bass': 44.0, 'swett': 27.0}",bass,17.0,2010-04-30,bass,2
5,maryland 1st district,house,MD,"['harris', 'kratovil']",pos (r),"{'harris': 39.0, 'kratovil': 36.0}",harris,3.0,2010-05-01,harris,1
6,pennsylvania 12th district special election,house,PA,"['burns', 'critz']",r2000/daily kos (d),"{'burns': 46.0, 'critz': 40.0}",burns,6.0,2010-05-01,critz,12
7,pennsylvania 12th district special election,house,PA,"['burns', 'critz']",r2000/daily kos (d),"{'critz': 40.0, 'burns': 46.0}",burns,6.0,2010-05-01,critz,12
8,hawaii 1st district special election,house,HI,"['djou', 'case']",honolulu advertiser,"{'djou': 36.0, 'case': 28.0, 'hanabusa': 22.0}",djou,8.0,2010-05-02,<BLANK>,1
9,pennsylvania 12th district special election,house,PA,"['critz', 'burns']",susquehanna,"{'critz': 44.0, 'burns': 38.0}",critz,6.0,2010-05-12,critz,12
10,pennsylvania 12th district special election,house,PA,"['critz', 'burns']",susquehanna,"{'burns': 38.0, 'critz': 44.0}",critz,6.0,2010-05-12,critz,12
11,pennsylvania 12th district special election,house,PA,"['burns', 'critz']",ppp (d),"{'critz': 47.0, 'burns': 48.0}",burns,1.0,2010-05-17,critz,12
12,south carolina 4th district,house,SC,"['gowdy', 'inglis']",ppp (d),"{'gowdy': 37.0, 'inglis': 33.0, 'lee': 9.0, 'thomas': 9.0, 'jeffrey': 5.0}",gowdy,4.0,2010-06-06,gowdy,4
13,north carolina 2nd district,house,NC,"['ellmers', 'etheridge']",surveyusa,"{'ellmers': 39.0, 'etheridge': 38.0, 'rose': 13.0}",ellmers,1.0,2010-06-17,ellmers,2
14,minnesota 6th district,house,MN,"['bachmann', 'clark']",surveyusa,"{'bachmann': 48.0, 'clark': 39.0, 'anderson': 6.0}",bachmann,9.0,2010-07-13,bachmann,6
15,nevada 3rd district,house,NV,"['titus', 'heck']",las vegas review-journal,"{'titus': 42.0, 'heck': 40.0}",titus,2.0,2010-07-18,heck,3
16,virginia 5th district,house,VA,"['hurt', 'perriello']",surveyusa,"{'hurt': 58.0, 'perriello': 35.0}",hurt,23.0,2010-07-21,hurt,5
17,virginia 9th district,house,VA,"['boucher', 'griffith']",surveyusa,"{'boucher': 52.0, 'griffith': 39.0}",boucher,13.0,2010-07-22,griffith,9
18,new mexico 1st district,house,NM,"['barela', 'heinrich']",surveyusa,"{'barela': 51.0, 'heinrich': 45.0}",barela,6.0,2010-07-27,heinrich,1
19,kentucky 6th district,house,KY,"['chandler', 'barr']",cn|2/braun research,"{'chandler': 46.0, 'barr': 32.0}",chandler,14.0,2010-07-29,chandler,6
20,north carolina 11th district,house,NC,"['shuler', 'miller']",surveyusa,"{'shuler': 45.0, 'miller': 44.0}",shuler,1.0,2010-08-02,shuler,11
21,nevada 3rd district,house,NV,"['titus', 'heck']",las vegas review-journal,"{'titus': 43.0, 'heck': 42.0}",titus,1.0,2010-08-15,heck,3
22,virginia 5th district,house,VA,"['hurt', 'perriello']",aaf/ayers (r),"{'hurt': 49.0, 'perriello': 43.0}",hurt,6.0,2010-08-16,hurt,5
23,new york 23rd district,house,NY,"['owens', 'doheny']",aaf/ayers (r),"{'owens': 41.0, 'doheny': 39.0}",owens,2.0,2010-08-16,owens,23
24,new york 25th district,house,NY,"['maffei', 'buerkle']",aaf/ayers (r),"{'maffei': 44.0, 'buerkle': 41.0}",maffei,3.0,2010-08-16,<BLANK>,25
25,pennsylvania 3rd district,house,PA,"['kelly', 'dahlkemper']",aaf/ayers (r),"{'kelly': 52.0, 'dahlkemper': 38.0}",kelly,14.0,2010-08-16,kelly,3
26,pennsylvania 10th district,house,PA,"['marino', 'carney']",aaf/ayers (r),"{'marino': 52.0, 'carney': 37.0}",marino,15.0,2010-08-16,marino,10
27,pennsylvania 11th district,house,PA,"['barletta', 'kanjorski']",aaf/ayers (r),"{'barletta': 52.0, 'kanjorski': 41.0}",barletta,11.0,2010-08-16,barletta,11
28,pennsylvania 12th district,house,PA,"['burns', 'critz']",aaf/ayers (r),"{'burns': 44.0, 'critz': 40.0}",burns,4.0,2010-08-16,critz,12
29,west virginia 3rd district,house,WV,"['rahall', 'maynard']",aaf/ayers (r),"{'rahall': 53.0, 'maynard': 37.0}",rahall,16.0,2010-08-16,rahall,3
30,new york 20th district,house,NY,"['murphy', 'gibson']",aaf/ayers (r),"{'murphy': 45.0, 'gibson': 40.0}",murphy,5.0,2010-08-16,gibson,20
31,washington 3rd district,house,WA,"['herrera', 'heck']",surveyusa,"{'herrera': 54.0, 'heck': 41.0}",herrera,13.0,2010-08-26,<BLANK>,3
32,virginia 5th district,house,VA,"['hurt', 'perriello']",surveyusa,"{'hurt': 61.0, 'perriello': 35.0}",hurt,26.0,2010-09-02,hurt,5
