,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
49,Hawaii Governor - Aiona vs. Hannemann,Honolulu Advertiser,"Hannemann 48, Aiona 35",13,2010-05-05,2010,0.0
50,Arizona Governor - Republican Primary,R2000/Daily Kos (D),"Brewer 32, Mills 14, Martin 13, Munger 5",18,2010-05-06,2010,0.0
51,Arizona Governor - Brewer vs. Goddard,R2000/Daily Kos (D),"Brewer 42, Goddard 48",6,2010-05-06,2010,0.0
52,Connecticut Governor - Foley vs. Lamont,Rasmussen Reports,"Lamont 42, Foley 35",7,2010-05-06,2010,7.0
53,Connecticut Governor - Foley vs. Malloy,Rasmussen Reports,"Malloy 38, Foley 35",3,2010-05-06,2010,7.0
54,Arizona Governor - Brewer vs. Goddard,R2000/Daily Kos (D),"Goddard 48, Brewer 42",6,2010-05-06,2010,0.0
55,Ohio Governor - Kasich vs. Strickland,Rasmussen Reports,"Strickland 45, Kasich 46",1,2010-05-07,2010,7.0
56,Iowa Governor - Branstad vs. Culver,Research 2000,"Branstad 48, Culver 41",7,2010-05-07,2010,1.0
57,Illinois Governor - Brady vs. Quinn,R2000/Daily Kos (D),"Brady 39, Quinn 36",3,2010-05-07,2010,0.0
58,Minnesota Governor - Emmer vs. Entenza vs. Horner,SurveyUSA,"Emmer 42, Entenza 31, Horner 10",11,2010-05-10,2010,12.0
59,Minnesota Governor - Emmer vs. Dayton vs. Horner,SurveyUSA,"Emmer 42, Dayton 34, Horner 9",8,2010-05-10,2010,12.0
60,Minnesota Governor - Emmer vs. Kelliher vs. Horner,SurveyUSA,"Emmer 41, Kelliher 33, Horner 9",8,2010-05-10,2010,12.0
61,Maryland Governor - Ehrlich vs. O'Malley,Washington Post,"O'Malley 49, Ehrlich 41",8,2010-05-10,2010,13.0
62,Florida Governor - McCollum vs. Sink,Mason-Dixon,"McCollum 45, Sink 36",9,2010-05-10,2010,10.0
63,Pennsylvania Governor - Democratic Primary,Rasmussen Reports,"Onorato 34, Wagner 17, Williams 17, Hoeffel 9",17,2010-05-10,2010,7.0
64,Florida Governor - Republican Primary,Mason-Dixon,"McCollum 38, Scott 24, Dockery 7",14,2010-05-10,2010,10.0
65,Florida Governor - Scott vs. Sink,Mason-Dixon,"Sink 38, Scott 36",2,2010-05-10,2010,10.0
66,California Governor - Republican Primary,SurveyUSA,"Whitman 39, Poizner 37",2,2010-05-11,2010,12.0
67,Oregon Governor - Republican Primary,SurveyUSA,"Dudley 42, Alley 24",18,2010-05-11,2010,12.0
68,New York Governor - Lazio vs. Cuomo,Marist,"Cuomo 65, Lazio 25",40,2010-05-11,2010,12.0
