date,WhiteHouseParty
06/30/2018,d
07/01/2018,d
07/02/2018,d
07/03/2018,d
07/04/2018,d
07/05/2018,d
07/06/2018,d
07/07/2018,d
07/08/2018,d
07/09/2018,d
07/10/2018,d
07/11/2018,d
07/12/2018,d
07/13/2018,d
07/14/2018,d
07/15/2018,d
07/16/2018,d
07/17/2018,d
07/18/2018,d
07/19/2018,d
07/20/2018,d
07/21/2018,d
07/22/2018,d
07/23/2018,d
07/24/2018,d
07/25/2018,d
07/26/2018,d
07/27/2018,d
07/28/2018,d
07/29/2018,d
07/30/2018,d
07/31/2018,d
08/01/2018,d
08/02/2018,d
08/03/2018,d
08/04/2018,d
08/05/2018,d
08/06/2018,d
08/07/2018,d
08/08/2018,d
08/09/2018,d
08/10/2018,d
08/11/2018,d
08/12/2018,d
08/13/2018,d
08/14/2018,d
08/15/2018,d
08/16/2018,d
08/17/2018,d
08/18/2018,d
08/19/2018,d
08/20/2018,d
08/21/2018,d
08/22/2018,d
08/23/2018,d
08/24/2018,d
08/25/2018,d
08/26/2018,d
08/27/2018,d
08/28/2018,d
08/29/2018,d
08/30/2018,d
08/31/2018,d
09/01/2018,d
09/02/2018,d
09/03/2018,d
09/04/2018,d
09/05/2018,d
09/06/2018,d
09/07/2018,d
09/08/2018,d
09/09/2018,d
09/10/2018,d
09/11/2018,d
09/12/2018,d
09/13/2018,d
09/14/2018,d
09/15/2018,d
09/16/2018,d
09/17/2018,d
09/18/2018,d
09/19/2018,d
09/20/2018,d
09/21/2018,d
09/22/2018,d
09/23/2018,d
09/24/2018,d
09/25/2018,d
09/26/2018,d
09/27/2018,d
09/28/2018,d
09/29/2018,d
09/30/2018,d
10/01/2018,d
10/02/2018,d
10/03/2018,d
10/04/2018,d
10/05/2018,d
10/06/2018,d
10/07/2018,d
10/08/2018,d
10/09/2018,d
10/10/2018,d
10/11/2018,d
10/12/2018,d
10/13/2018,d
10/14/2018,d
10/15/2018,d
10/16/2018,d
10/17/2018,d
10/18/2018,d
10/19/2018,d
10/20/2018,d
10/21/2018,d
10/22/2018,d
10/23/2018,d
10/24/2018,d
10/25/2018,d
10/26/2018,d
10/27/2018,d
10/28/2018,d
10/29/2018,d
10/30/2018,d
10/31/2018,d
11/01/2018,d
11/02/2018,d
11/03/2018,d
11/04/2018,d
11/05/2018,d
11/06/2018,d
11/07/2018,d
11/08/2018,d
11/09/2018,d
11/10/2018,d
11/11/2018,d
11/12/2018,d
11/13/2018,d
11/14/2018,d
11/15/2018,d
11/16/2018,d
11/17/2018,d
11/18/2018,d
11/19/2018,d
11/20/2018,d
11/21/2018,d
11/22/2018,d
11/23/2018,d
11/24/2018,d
11/25/2018,d
11/26/2018,d
11/27/2018,d
11/28/2018,d
11/29/2018,d
11/30/2018,d
12/01/2018,d
