,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
2489,colorado senate,senate,CO,"['coffman', 'bennet']",quinnipiac,"{'coffman': 43.0, 'bennet': 40.0}",coffman,3.0,2015-04-14,bennet,0
2490,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette university,"{'feingold': 54.0, 'johnson': 38.0}",feingold,16.0,2015-04-17,johnson,0
2491,new hampshire senate,senate,NH,"['hassan', 'ayotte']",ppp (d),"{'ayotte': 45.0, 'hassan': 46.0}",hassan,1.0,2015-04-17,hassan,0
2492,new hampshire senate,senate,NH,"['ayotte', 'kuster']",ppp (d),"{'ayotte': 49.0, 'kuster': 38.0}",ayotte,11.0,2015-04-17,<BLANK>,0
2493,florida senate,senate,FL,"['mccollum', 'jolly']",mason-dixon,"{'mccollum': 20.0, 'jolly': 8.0, 'buchanan': 7.0, 'lopez-cantera': 4.0, 'desantis': 4.0, 'lemieux': 3.0, 'gaetz': 1.0}",mccollum,12.0,2015-04-21,<BLANK>,0
2494,florida senate,senate,FL,"['murphy', 'grayson']",mason-dixon,"{'murphy': 23.0, 'grayson': 14.0}",murphy,9.0,2015-04-21,<BLANK>,0
2495,north carolina senate,senate,NC,"['burr', 'hagan']",elon university,"{'burr': 44.0, 'hagan': 43.0}",burr,1.0,2015-04-28,burr,0
2496,arizona senate,senate,AZ,"['mccain', 'carmona']",ppp (d),"{'mccain': 40.0, 'carmona': 34.0}",mccain,6.0,2015-05-05,mccain,0
2497,arizona senate,senate,AZ,"['schweikert', 'carmona']",ppp (d),"{'schweikert': 39.0, 'carmona': 39.0}",,,2015-05-05,<BLANK>,0
2498,arizona senate,senate,AZ,"['mccain', 'sinema']",ppp (d),"{'mccain': 42.0, 'sinema': 36.0}",mccain,6.0,2015-05-05,mccain,0
2499,arizona senate,senate,AZ,"['carmona', 'jones']",ppp (d),"{'carmona': 42.0, 'jones': 36.0}",carmona,6.0,2015-05-05,<BLANK>,0
2500,arizona senate,senate,AZ,"['carmona', 'ward']",ppp (d),"{'carmona': 39.0, 'ward': 36.0}",carmona,3.0,2015-05-05,<BLANK>,0
2501,arizona senate,senate,AZ,"['mccain', 'duval']",ppp (d),"{'mccain': 40.0, 'duval': 36.0}",mccain,4.0,2015-05-05,mccain,0
2502,arizona senate,senate,AZ,"['mccain', 'kirkpatrick']",ppp (d),"{'mccain': 42.0, 'kirkpatrick': 36.0}",mccain,6.0,2015-05-05,mccain,0
2503,arizona senate,senate,AZ,"['salmon', 'carmona']",ppp (d),"{'salmon': 43.0, 'carmona': 35.0}",salmon,8.0,2015-05-05,<BLANK>,0
2504,new hampshire senate,senate,NH,"['ayotte', 'hassan']",dartmouth,"{'ayotte': 38.0, 'hassan': 33.0}",ayotte,5.0,2015-05-06,hassan,0
2505,new hampshire senate,senate,NH,"['ayotte', 'shea-porter']",dartmouth,"{'ayotte': 45.0, 'shea-porter': 25.0}",ayotte,20.0,2015-05-06,<BLANK>,0
2506,pennsylvania senate,senate,PA,"['toomey', 'shapiro']",harper (r),"{'toomey': 55.0, 'shapiro': 27.0}",toomey,28.0,2015-05-12,toomey,0
2507,pennsylvania senate,senate,PA,"['toomey', 'sestak']",harper (r),"{'toomey': 53.0, 'sestak': 32.0}",toomey,21.0,2015-05-12,toomey,0
2508,pennsylvania senate,senate,PA,"['toomey', 'pawlowski']",harper (r),"{'toomey': 54.0, 'pawlowski': 30.0}",toomey,24.0,2015-05-12,toomey,0
2509,california senate primary,senate,CA,"['harris', 'sanchez']",field,"{'harris': 19.0, 'sanchez': 8.0, 'chavez': 6.0, 'del beccaro': 5.0, 'becerra': 3.0, 'sundheim': 1.0}",harris,11.0,2015-05-20,harris,0
2510,pennsylvania senate,senate,PA,"['toomey', 'sestak']",ppp (d),"{'toomey': 42.0, 'sestak': 38.0}",toomey,4.0,2015-05-27,toomey,0
2511,pennsylvania senate,senate,PA,"['toomey', 'pawlowski']",ppp (d),"{'toomey': 44.0, 'pawlowski': 34.0}",toomey,10.0,2015-05-27,toomey,0
2512,new hampshire senate,senate,NH,"['ayotte', 'hassan']",wmur/unh,"{'ayotte': 45.0, 'hassan': 43.0}",ayotte,2.0,2015-05-27,hassan,0
